Time,Torsion,Entropy,Phase
0,0.1,1.0,0.0
1,0.12563247228169516,1.0099588123624537,0.0033323856635420522
2,0.16745755084209013,1.0227008100399408,0.0076748178384866955
3,0.1911693144394058,1.0286930765829485,0.012576418256688919
4,0.2246406031863142,1.0539855566046972,0.018079716198403702
5,0.254771700662671,1.0604286132370637,0.024235390733114384
6,0.2745393098199506,1.0683956605676164,0.03076262754589281
7,0.27948305426772163,1.0843704596991905,0.03721040370254717
8,0.2972336446752242,1.0809142212817235,0.044100638321577956
9,0.32390221113723605,1.0854297240324904,0.05152476540609486
10,0.33310580674353035,1.0922628969396166,0.05905311035698584
11,0.3538719356952566,1.1232683689036989,0.0665510022261045
12,0.3612613670426106,1.1412702718888885,0.0739106302548429
13,0.3831925907281138,1.1534991677500548,0.08148721012364984
14,0.4072141225348453,1.1606834029835558,0.0893827779168026
15,0.42423282954798675,1.174479655995926,0.09732755366487324
16,0.4620567682693276,1.1890436767976134,0.1056314542669481
17,0.4701070351276412,1.211198211499991,0.11360162405200092
18,0.4754935027388357,1.242072746216531,0.1209909551245485
19,0.4720385623964801,1.2670502451597614,0.12779096577308957
20,0.488962019416894,1.2765035277042112,0.13460324028245566
21,0.5051788585353262,1.3073736830258418,0.14090412801952834
22,0.5151871539938893,1.3304153984524187,0.14676901984671
23,0.5198923428767845,1.3402650645071483,0.1524446779168486
24,0.5418883033177351,1.3604980121999568,0.15782791006256416
25,0.534695484337225,1.3897219295063872,0.16241632567313383
26,0.5398489869774998,1.4184417217264458,0.16631675785165276
27,0.5535540439388742,1.4373728247539257,0.16981349057733333
28,0.5695182446538606,1.4739685115326382,0.17242001883755464
29,0.5712599500260525,1.4925376560920536,0.17453355325279263
30,0.5849243419808755,1.5228849090702403,0.17585572892852674
31,0.5854624066985854,1.5456999818790333,0.17654904912825353
32,0.5747550259881882,1.5622658740056767,0.17678091647485786
33,0.5887439437404652,1.5975725919327344,0.1760375397164389
34,0.5974406194378861,1.6246183345202765,0.1745244504176472
35,0.5882996205844783,1.6563611086931018,0.17215314914970678
36,0.5994069656449408,1.6877224299915359,0.16886244924063293
37,0.6092204094414606,1.7155718156884439,0.1647346726719706
38,0.6102259209349611,1.7179857794588365,0.16053251911850797
39,0.5999029195305795,1.7475088811975072,0.15557017757720323
40,0.5712375164234194,1.7766546063011355,0.15004429453683496
41,0.5645882724984492,1.8014915624999022,0.14392701167194089
42,0.54797285051439,1.8430239044615673,0.136923314110682
43,0.5295113976953545,1.860986866508626,0.1296968120988295
44,0.5184921686206188,1.8953964732533946,0.12179419236707924
