x,y,R,G,B,Value
905,436,75,194,108,1.896988685923473
988,437,112,206,86,1.8993178545337694
998,438,85,198,102,1.888105552919395
851,440,56,185,118,1.903653136044877
851,442,56,185,118,1.8918547116641564
857,444,66,190,113,1.89645305031338
958,445,94,201,97,1.8936983041840134
979,447,107,205,89,1.893620205378137
913,449,57,185,118,1.9047040444051808
956,451,79,195,105,1.8975359564225414
1004,454,56,185,118,1.900497652741789
873,458,62,188,115,1.8995758907024394
983,463,66,190,113,1.9117644627023291
1502,496,81,196,104,1.9114584260525738
1482,512,107,205,89,1.900018192615855
1211,522,61,187,116,1.9171966634499933
1197,526,77,194,107,1.9034543215752577
731,529,59,186,117,1.900479347106107
1164,531,62,188,115,1.8972044248833446
1487,532,103,204,92,1.9031433920590046
1219,535,114,207,85,1.9043676286145017
1486,536,89,199,100,1.900989684631332
1493,537,107,205,89,1.8913427158623726
730,539,81,196,104,1.891919898311906
1166,540,96,201,96,1.910482395545165
1251,542,79,195,105,1.8961903725194846
1134,544,62,188,115,1.8994498012559466
1251,545,85,198,102,1.8952463336235732
728,547,94,201,97,1.8928290721924086
1133,548,64,189,114,1.899480440525568
1123,550,61,187,116,1.89652952993755
1246,551,100,203,93,1.892337417223313
1113,554,62,188,115,1.89891321031436
1246,556,103,204,92,1.8981331632895857
1191,558,183,221,41,1.9034948981740218
1096,560,69,191,111,1.9083597867976556
1193,561,191,223,36,1.9200201132554136
1194,562,191,223,36,1.9093897529538353
1203,563,189,222,38,1.927567474479958
1201,564,197,223,33,1.9263935252655824
1200,565,197,223,33,1.917404778209735
1199,566,197,223,33,1.9090869526403262
1188,567,202,224,30,1.9102703899818405
1194,568,205,224,29,1.9211568203513478
1190,569,202,224,30,1.9213146255937759
1218,570,186,222,39,1.9198484621714715
1213,571,199,224,31,1.9108245048176602
1218,572,186,222,39,1.9211623409366607
1183,573,199,224,31,1.9315848578681152
1205,574,210,225,27,1.9240330419541127
1207,575,207,225,28,1.9280271412325964
1189,576,210,225,27,1.9225713906135091
1187,577,207,225,28,1.9238472269869473
1188,578,212,225,26,1.929313575522725
1209,579,210,225,27,1.9288003828441989
1197,580,218,226,24,1.9178906697856433
1212,581,207,225,28,1.9137809840493643
1217,582,194,223,34,1.9253647977382014
1219,584,194,223,34,1.9261128836235208
1185,586,202,224,30,1.9395505181707566
1192,587,212,225,26,1.9227413140374956
1201,588,215,226,25,1.925828094776799
1149,591,71,192,110,1.9132400428825858
1211,592,202,224,30,1.9226928923099529
1184,594,183,221,41,1.9162440046395697
1216,596,186,222,39,1.9301242694119556
1198,598,197,223,33,1.9171249006045052
1211,600,181,221,43,1.924712413127423
709,604,83,197,103,1.8988215451140376
689,608,116,208,84,1.901088180534115
694,611,109,206,88,1.9028833223208905
708,614,77,194,107,1.8971265786894345
708,618,66,190,113,1.8947452843165087
1216,621,103,204,92,1.9036260204684694
1226,625,62,188,115,1.899003964666048
700,629,61,187,116,1.8987197493510408
1219,632,59,186,117,1.9042425698756158
1188,637,56,185,118,1.9033326500091627
828,647,83,197,103,1.898269549896494
843,654,71,192,110,1.903825197222131
816,659,87,198,101,1.8926170565297105
1053,663,83,197,103,1.8969328575504467
818,666,98,202,95,1.8936340621768895
841,669,87,198,101,1.892871035354934
836,672,98,202,95,1.8918020766776917
1020,674,64,189,114,1.8887038732622101
1065,676,77,194,107,1.897700041472447
836,679,87,198,101,1.8949456245104217
846,681,71,192,110,1.8955163926987377
830,684,87,198,101,1.8998691570461665
1068,685,64,189,114,1.8919968899579076
1046,687,119,208,82,1.8965024311845362
1054,690,98,202,95,1.9095655348680585
1027,692,109,206,88,1.8997341840202921
1021,694,100,203,93,1.8930846995700008
1223,695,61,187,116,1.9006099902027025
1020,697,100,203,93,1.8967698139442277
1025,700,105,204,91,1.9089403324809975
1226,702,66,190,113,1.9043913833074366
1238,704,71,192,110,1.9009270570619525
1034,706,96,201,96,1.894102805764638
1012,708,87,198,101,1.8926331033570145
1013,711,85,198,102,1.9003963598693707
1024,714,83,197,103,1.8949052287901267
1036,716,75,194,108,1.8888409802031731
1243,718,83,197,103,1.899137366702226
1252,721,81,196,104,1.899413238018527
692,725,54,184,119,1.8971176509018237
1249,726,81,196,104,1.8936886070990877
727,728,57,185,118,1.9020506660672936
1252,729,79,195,105,1.8946695524174324
1030,732,57,185,118,1.9015096101728455
1228,734,57,185,118,1.9047264332403178
1281,736,54,184,119,1.8960285956744078
694,740,77,194,107,1.9057988234248484
726,742,87,198,101,1.9043954632621145
706,744,89,199,100,1.8963158440992713
725,746,105,204,91,1.8957157057891165
699,751,96,201,96,1.8950943270234948
694,755,98,202,95,1.909488501597944
711,757,119,208,82,1.901888607852092
703,760,116,208,84,1.8975829444727064
1272,763,62,188,115,1.8965279678303737
1290,765,68,190,112,1.9066986962049273
940,767,56,185,118,1.8978170214421253
1275,769,71,192,110,1.9021263545228448
1058,771,56,185,118,1.9018606877996314
1294,773,79,195,105,1.904086182670238
1303,774,75,194,108,1.8934812596353197
1256,776,59,186,117,1.9007451242927802
740,778,183,221,41,1.916132152709879
735,779,183,221,41,1.9109051410843338
740,780,183,221,41,1.9019465528967536
732,781,183,221,41,1.9400335673115314
1445,781,68,190,112,1.913988428635598
738,783,186,222,39,1.9156482374056245
743,784,189,222,38,1.917801813625749
1261,784,89,199,100,1.910847635778669
952,785,85,198,102,1.9034059565319346
741,786,189,222,38,1.915094929277759
1050,786,85,198,102,1.9053505540342544
745,787,189,222,38,1.9253412155088483
751,788,181,221,43,1.9033068496373953
1051,788,91,200,98,1.9008812452173534
747,789,189,222,38,1.9041382381750764
1047,789,85,198,102,1.9009440836462763
753,790,181,221,43,1.9280969458643744
735,791,186,222,39,1.9071221053018348
1053,791,96,201,96,1.8886697368132266
732,792,181,221,43,1.9173584448259513
749,793,189,222,38,1.922250849188192
736,794,186,222,39,1.9183329281296209
1255,794,96,201,96,1.89667135264317
747,795,191,223,36,1.9174228390962578
738,796,189,222,38,1.9203083442763929
1247,796,64,189,114,1.8861309225726746
739,797,186,222,39,1.923465222111672
1054,797,103,204,92,1.8944548324844268
750,798,191,223,36,1.9123104628794443
741,799,189,222,38,1.9149535073268105
1086,799,66,190,113,1.9042986868714944
755,800,186,222,39,1.9109621780873274
738,801,183,221,41,1.9329065183038117
1059,801,105,204,91,1.9106308130116427
751,802,189,222,38,1.936145055095105
1384,802,89,199,100,1.9098567190117968
977,803,56,185,118,1.891338237269747
752,804,189,222,38,1.9217014857183883
753,805,189,222,38,1.9115233319390188
744,806,189,222,38,1.9144100647627915
749,807,186,222,39,1.9170400639389216
742,808,181,221,43,1.9230755681076017
755,809,186,222,39,1.9189405724017208
755,810,186,222,39,1.9175722743052372
761,811,183,221,41,1.904599049554171
757,812,183,221,41,1.9200514077443123
757,813,183,221,41,1.907501661426212
721,814,109,206,88,1.8959791477707577
751,815,183,221,41,1.9030996352506317
757,816,181,221,43,1.9152060130791255
760,817,181,221,43,1.9063877414672858
763,818,181,221,43,1.9115417664448349
718,819,87,198,101,1.9026821152524136
1408,819,181,221,43,1.9232626263948331
1402,821,183,221,41,1.9056724321671528
1409,822,181,221,43,1.9145070213243596
1405,823,186,222,39,1.900822426298004
1396,824,186,222,39,1.9183378643318516
1407,825,186,222,39,1.9250110630810204
1391,826,186,222,39,1.929399917675371
1395,827,191,223,36,1.9186720932984629
1389,828,186,222,39,1.9328736701862923
1409,829,186,222,39,1.9054312816342724
1409,830,186,222,39,1.911185742797173
1399,831,197,223,33,1.918826973978303
1386,832,191,223,36,1.9231256558360095
1401,833,197,223,33,1.9280919304515292
1396,834,199,224,31,1.9140329192459846
1403,835,194,223,34,1.9280523518134955
1400,836,199,224,31,1.922761634894292
1397,837,199,224,31,1.9113316600402124
1384,838,189,222,38,1.9144638360980846
1399,839,197,223,33,1.9234522183512843
1403,840,194,223,34,1.9080560728219165
1407,841,186,222,39,1.906911711082988
1389,842,197,223,33,1.910760866676712
1384,843,189,222,38,1.9276648445506679
971,844,73,193,109,1.8958208924691236
1389,844,197,223,33,1.9143417006292938
975,845,66,190,113,1.9024286632467082
1392,845,197,223,33,1.9113970055411424
965,846,79,195,105,1.8896991587540826
1382,846,181,221,43,1.9104214889551128
1392,847,197,223,33,1.9298330843486238
950,848,85,198,102,1.893389264546832
1385,848,183,221,41,1.9057769374545428
953,849,85,198,102,1.88340284756637
1398,849,191,223,36,1.9026260704913591
1401,850,189,222,38,1.9049856883578111
1401,851,183,221,41,1.90362944067094
1387,852,183,221,41,1.927898705357343
1393,853,189,222,38,1.9184577971361645
1389,854,186,222,39,1.9167803383915625
1253,855,73,193,109,1.8988381226424738
833,856,96,201,96,1.8911545853836118
1396,856,181,221,43,1.907755895158485
1396,857,181,221,43,1.9302478464309645
1067,858,61,187,116,1.8981664249051302
805,859,64,189,114,1.9046141254437778
1361,859,89,199,100,1.897530973699672
1421,860,96,201,96,1.908723816123175
1278,861,61,187,116,1.89523404003192
1267,862,61,187,116,1.9133811868425883
1425,863,77,194,107,1.9078653060317334
1370,865,107,205,89,1.898323707972158
1378,867,119,208,82,1.8901316614805737
769,869,77,194,107,1.8894517706353304
1413,870,116,208,84,1.9078000678070837
769,873,75,194,108,1.895347967987114
739,876,96,201,96,1.9039913969524063
759,878,96,201,96,1.9010705000785582
764,882,79,195,105,1.904979119010183
731,885,62,188,115,1.8979968870437594
747,888,109,206,88,1.8894952747267895
771,890,61,187,116,1.8997929667753322
1178,908,89,89,89,1.897190752937914
