Manifold,Volume,Homology_Rank,Torsion_Order_Proxy,Lambda_c
"o9_00103(0,0)",3.6473201242968134,2,1.0,3.6473201242968134
"o9_00104(0,0)",3.647423459563444,1,1.0,3.647423459563444
"o9_00105(0,0)",3.6474726417721057,1,1.0,3.6474726417721057
"o9_00106(0,0)",3.6475690190699854,2,1.0,3.6475690190699854
"o9_00107(0,0)",3.6475690190699837,2,1.0,3.6475690190699837
"o9_00108(0,0)",3.6476810372393667,2,1.0,3.6476810372393667
"o9_00109(0,0)",3.6476810372393627,2,1.0,3.6476810372393627
"o9_00110(0,0)",3.6478455230933045,1,1.0,3.6478455230933045
"o9_00111(0,0)",3.647867084513605,1,1.0,3.647867084513605
"o9_00112(0,0)",3.6480757336867207,2,1.0,3.6480757336867207
"o9_00113(0,0)",3.6480757336867162,2,1.0,3.6480757336867162
"o9_00114(0,0)",3.648277213131876,2,1.0,3.648277213131876
"o9_00115(0,0)",3.6482772131318786,2,1.0,3.6482772131318786
"o9_00116(0,0)",3.648411180460862,2,1.0,3.648411180460862
"o9_00117(0,0)",3.6484111804608634,2,1.0,3.6484111804608634
"o9_00118(0,0)",3.648491149598522,2,1.0,3.648491149598522
"o9_00119(0,0)",3.64849114959852,2,1.0,3.64849114959852
"o9_00120(0,0)",3.648500504160108,2,1.0,3.648500504160108
"o9_00121(0,0)",3.648500504160109,2,1.0,3.648500504160109
"o9_00122(0,0)",3.64896693550722,2,1.0,3.64896693550722
"o9_00123(0,0)",3.64896693550722,2,1.0,3.64896693550722
"o9_00124(0,0)",3.649210840120981,2,1.0,3.649210840120981
"o9_00125(0,0)",3.649210840120984,2,1.0,3.649210840120984
"o9_00126(0,0)",3.6492625620362373,2,1.0,3.6492625620362373
"o9_00127(0,0)",3.649262562036238,2,1.0,3.649262562036238
"o9_00128(0,0)",3.649521608543994,1,1.0,3.649521608543994
"o9_00129(0,0)",3.6495379944121704,1,1.0,3.6495379944121704
"o9_00130(0,0)",3.649601087943567,2,1.0,3.649601087943567
"o9_00131(0,0)",3.649601087943568,2,1.0,3.649601087943568
"o9_00132(0,0)",3.6496761397695874,1,1.0,3.6496761397695874
"o9_00133(0,0)",3.64968223635349,1,1.0,3.64968223635349
"o9_00134(0,0)",3.6497079950785314,1,1.0,3.6497079950785314
"o9_00135(0,0)",3.649725752262674,1,1.0,3.649725752262674
"o9_00136(0,0)",3.6501898553299434,2,1.0,3.6501898553299434
"o9_00137(0,0)",3.6501898553299443,2,1.0,3.6501898553299443
"o9_00138(0,0)",3.6503261161707687,2,1.0,3.6503261161707687
"o9_00139(0,0)",3.650344805350512,1,1.0,3.650344805350512
"o9_00140(0,0)",3.6503562595163346,2,1.0,3.6503562595163346
"o9_00141(0,0)",3.6503562595163364,2,1.0,3.6503562595163364
"o9_00142(0,0)",3.6503781793950285,2,1.0,3.6503781793950285
"o9_00143(0,0)",3.6503781793950267,2,1.0,3.6503781793950267
"o9_00144(0,0)",3.6504382185185587,2,1.0,3.6504382185185587
"o9_00145(0,0)",3.6504382185185626,2,1.0,3.6504382185185626
"o9_00146(0,0)",3.650519643262888,2,1.0,3.650519643262888
"o9_00147(0,0)",3.650519643262892,2,1.0,3.650519643262892
"o9_00148(0,0)",3.6505319816380823,2,1.0,3.6505319816380823
"o9_00149(0,0)",3.6505319816380832,2,1.0,3.6505319816380832
"o9_00150(0,0)",3.650591481461661,2,1.0,3.650591481461661
"o9_00151(0,0)",3.650597326227273,2,1.0,3.650597326227273
"o9_00152(0,0)",3.6505973262272735,2,1.0,3.6505973262272735
"o9_00153(0,0)",3.6506317065238347,1,1.0,3.6506317065238347
"o9_00154(0,0)",3.6507637557608814,1,1.0,3.6507637557608814
"o9_00155(0,0)",3.6507923056911853,1,1.0,3.6507923056911853
"o9_00156(0,0)",3.650836570223186,2,1.0,3.650836570223186
"o9_00157(0,0)",3.6508365702231917,2,1.0,3.6508365702231917
"o9_00158(0,0)",3.6511694431713027,2,1.0,3.6511694431713027
"o9_00159(0,0)",3.651169443171302,2,1.0,3.651169443171302
"o9_00160(0,0)",3.6513249304739617,2,1.0,3.6513249304739617
"o9_00161(0,0)",3.6513249304739626,2,1.0,3.6513249304739626
"o9_00162(0,0)",3.6514945760512294,2,1.0,3.6514945760512294
"o9_00163(0,0)",3.651494576051233,2,1.0,3.651494576051233
"o9_00164(0,0)",3.651655297490541,1,1.0,3.651655297490541
"o9_00165(0,0)",3.6516793868971082,1,1.0,3.6516793868971082
"o9_00166(0,0)",3.6517144365767042,2,1.0,3.6517144365767042
"o9_00167(0,0)",3.6517144365767025,2,1.0,3.6517144365767025
"o9_00168(0,0)",3.651781600389941,1,1.0,3.651781600389941
"o9_00169(0,0)",3.651802084147561,1,1.0,3.651802084147561
"o9_00170(0,0)",3.651828206194704,2,1.0,3.651828206194704
"o9_00171(0,0)",3.6518282061947014,2,1.0,3.6518282061947014
"o9_00172(0,0)",3.6520362117750302,2,1.0,3.6520362117750302
"o9_00173(0,0)",3.652036211775032,2,1.0,3.652036211775032
"o9_00174(0,0)",3.6521271162540434,2,1.0,3.6521271162540434
"o9_00175(0,0)",3.6521271162540443,2,1.0,3.6521271162540443
"o9_00176(0,0)",3.652139442610596,2,1.0,3.652139442610596
"o9_00177(0,0)",3.652139442610596,2,1.0,3.652139442610596
"o9_00178(0,0)",3.652234318029487,1,1.0,3.652234318029487
"o9_00179(0,0)",3.6522680117011563,2,1.0,3.6522680117011563
"o9_00180(0,0)",3.6523980023498446,2,1.0,3.6523980023498446
"o9_00181(0,0)",3.6523980023498455,2,1.0,3.6523980023498455
"o9_00182(0,0)",3.652540046917556,2,1.0,3.652540046917556
"o9_00183(0,0)",3.6525400469175566,2,1.0,3.6525400469175566
"o9_00184(0,0)",3.6525921489633477,2,1.0,3.6525921489633477
"o9_00185(0,0)",3.6525921489633486,2,1.0,3.6525921489633486
"o9_00186(0,0)",3.652699841013663,2,1.0,3.652699841013663
"o9_00187(0,0)",3.6526998410136637,2,1.0,3.6526998410136637
"o9_00188(0,0)",3.6527624837842594,1,1.0,3.6527624837842594
"o9_00189(0,0)",3.65276695686912,2,1.0,3.65276695686912
"o9_00190(0,0)",3.652766956869123,2,1.0,3.652766956869123
"o9_00191(0,0)",3.652773920705631,2,1.0,3.652773920705631
"o9_00192(0,0)",3.6529422419415982,2,1.0,3.6529422419415982
"o9_00193(0,0)",3.6529718873043837,1,1.0,3.6529718873043837
"o9_00194(0,0)",3.653146153189231,1,1.0,3.653146153189231
"o9_00195(0,0)",3.653172857124683,1,1.0,3.653172857124683
"o9_00196(0,0)",3.653204673144362,2,1.0,3.653204673144362
"o9_00197(0,0)",3.6532046731443586,2,1.0,3.6532046731443586
"o9_00198(0,0)",3.6532691799260206,2,1.0,3.6532691799260206
"o9_00199(0,0)",3.6532691799260206,2,1.0,3.6532691799260206
"o9_00200(0,0)",3.6533147796538104,2,1.0,3.6533147796538104
"o9_00201(0,0)",3.6533147796538095,2,1.0,3.6533147796538095
"o9_00202(0,0)",3.653318850473635,1,1.0,3.653318850473635
"o9_00203(0,0)",3.653331278404672,1,1.0,3.653331278404672
"o9_00204(0,0)",3.6534543966258513,1,1.0,3.6534543966258513
"o9_00205(0,0)",3.65347129228099,2,1.0,3.65347129228099
"o9_00206(0,0)",3.653471292280987,2,1.0,3.653471292280987
"o9_00207(0,0)",3.6534758139913635,1,1.0,3.6534758139913635
"o9_00208(0,0)",3.653679523451938,2,1.0,3.653679523451938
"o9_00209(0,0)",3.6536795234519386,2,1.0,3.6536795234519386
"o9_00210(0,0)",3.6538040720761593,2,1.0,3.6538040720761593
"o9_00211(0,0)",3.6538040720761624,2,1.0,3.6538040720761624
"o9_00212(0,0)",3.653829616651965,1,1.0,3.653829616651965
"o9_00213(0,0)",3.653845933055402,2,1.0,3.653845933055402
"o9_00214(0,0)",3.653845933055407,2,1.0,3.653845933055407
"o9_00215(0,0)",3.653850799254132,2,1.0,3.653850799254132
"o9_00216(0,0)",3.6538529610056214,2,1.0,3.6538529610056214
"o9_00217(0,0)",3.6538529610056183,2,1.0,3.6538529610056183
"o9_00218(0,0)",3.654078147799724,2,1.0,3.654078147799724
"o9_00219(0,0)",3.6540814774511197,2,1.0,3.6540814774511197
"o9_00220(0,0)",3.654081477451119,2,1.0,3.654081477451119
"o9_00221(0,0)",3.654083751721146,2,1.0,3.654083751721146
"o9_00222(0,0)",3.654085474972501,2,1.0,3.654085474972501
"o9_00223(0,0)",3.654085474972503,2,1.0,3.654085474972503
"o9_00224(0,0)",3.6541018718636327,1,1.0,3.6541018718636327
"o9_00225(0,0)",3.654102239066001,1,1.0,3.654102239066001
"o9_00226(0,0)",3.6542541403317617,2,1.0,3.6542541403317617
"o9_00227(0,0)",3.654254140331759,2,1.0,3.654254140331759
