x,y,rho_D,m_phi_GeV,phi_final
0,0,0.07286257522893151,40.9016937448828,9.685151133732301
1,0,0.07292742055826057,40.95092034423086,9.686050730972745
2,0,0.0730547172692012,41.047581582262104,9.686449643478449
3,0,0.07323868015367703,41.187330699674774,9.68637963930927
4,0,0.07347067257700808,41.3636647344675,9.685888077993912
5,0,0.07374048924358126,41.56888574390604,9.685029207877708
6,0,0.07403721759091668,41.79474418487866,9.6838608747257
7,0,0.0743479870526383,42.03147710779561,9.682443093728773
8,0,0.0746610740663574,42.270166259844196,9.680836415027132
9,0,0.07496463666204113,42.501774633726995,9.679101106917349
10,0,0.07524748390648536,42.717735580809105,9.67729611724993
11,0,0.07550046454942459,42.911019911489845,9.67547810018979
12,0,0.07571496511291623,43.074997472953534,9.67370089869565
13,0,0.07588634811655925,43.206074096468136,9.672014499045586
14,0,0.07600919235056423,43.30006042074568,9.670465312639665
15,0,0.07608187652631322,43.355682911417055,9.669095065727964
16,0,0.07610377463585209,43.37244259106464,9.667940704930425
17,0,0.07607490534397171,43.3503477110367,9.66703401596099
18,0,0.07599817160458915,43.29162749000903,9.66640065288475
19,0,0.07587717534110557,43.19905724230693,9.666059846098335
20,0,0.07571593739492867,43.07574093886748,9.66602387415457
21,0,0.0755203943372375,42.92625189470225,9.666297037743508
22,0,0.07529645758491751,42.755143514963635,9.666875381916062
23,0,0.07505099637370559,42.5676963932727,9.66774618684985
24,0,0.07479092774306256,42.36921879192598,9.668887715238384
25,0,0.0745243411462756,42.16590135690349,9.670269107180298
26,0,0.07425971481674583,41.96421521618827,9.67185099145871
27,0,0.07400481149070227,41.77006935933666,9.673586648296816
28,0,0.07376791983074939,41.589757498455484,9.67542307890791
29,0,0.07355719073671885,41.429453939502345,9.677302854030073
30,0,0.07338021254942441,41.29489434366925,9.679166245879662
31,0,0.07324338962087859,41.19090920322709,9.680953696158289
32,0,0.07315303054983305,41.122257518017136,9.682607988965186
33,0,0.07311363843545497,41.09233401066932,9.684076945658688
34,0,0.07312804140163529,41.10327459292433,9.685315637278354
35,0,0.07319831707325616,41.156662550774115,9.686288268758064
36,0,0.07332296872480266,41.251384502852574,9.686970099684531
37,0,0.07350065606040927,41.386462733954716,9.687348052750758
38,0,0.07372596186526084,41.55783256795837,9.687421843068638
39,0,0.07399238921382742,41.760611275131964,9.687203621324844
40,0,0.0742902156186581,41.98745456589676,9.686717478822331
41,0,0.07460987265765276,42.231118688536974,9.685997669239867
42,0,0.07493874965872449,42.4820168269738,9.68508736077767
43,0,0.07526387389591835,42.73025436931763,9.684036108962372
44,0,0.07557168046272764,42.96545235462311,9.682897229452585
45,0,0.07584944565213285,43.177845928277605,9.681724934548228
46,0,0.07608593424214569,43.358788411724824,9.680571785012868
47,0,0.07627009924744886,43.499767030729764,9.679486468317776
48,0,0.07639464359433205,43.59514039995393,9.678511182302783
49,0,0.07645450760988269,43.640992808153364,9.67768048474873
50,0,0.0764471478761647,43.63535533008812,9.677020468459158
51,0,0.0763742654955006,43.579533398048895,9.676548242086898
52,0,0.07624065441823255,43.477222871428,9.67627267503384
53,0,0.07605287466293965,43.33348772001282,9.676195481988088
54,0,0.07582125805305327,43.15628578366092,9.676312128039925
55,0,0.0755564154058107,42.95378402613385,9.676613556083435
56,0,0.07527122400876088,42.735868600559975,9.677087150566173
57,0,0.07497810740739451,42.5120564507718,9.67771805346468
58,0,0.07468915164181707,42.29158111943491,9.678489772905204
59,0,0.07441644014660198,42.08364764518879,9.679384321533878
60,0,0.07416914970965743,41.89522208108735,9.680382550641077
61,0,0.07395583266611298,41.7327795954789,9.681463628845732
62,0,0.07378206995360621,41.60052482407536,9.682605057618698
63,0,0.0736518679647341,41.501464717187254,9.683782259071995
64,0,0.07356713365168284,41.437015594295225,9.684968843609587
65,0,0.07352750063135456,41.40687560143733,9.686137125196614
66,0,0.07353099014782613,41.40952917019468,9.68725896740709
67,0,0.07357351301303995,41.44186724744513,9.688306942013131
68,0,0.07364990615392326,41.49997239544332,9.689255590222913
69,0,0.07375421246933564,41.579327468142324,9.690082850452704
70,0,0.07387865271185595,41.674028733850236,9.690771504314482
71,0,0.07401612787025676,41.77868570085392,9.691309932808137
72,0,0.07415820745065732,41.88688728359238,9.691692956498256
73,0,0.07429657036623194,41.992296641859916,9.691921660255113
74,0,0.07442430001182809,42.08963851271429,9.692002765526887
75,0,0.07453516719771963,42.17415538185305,9.691947954591098
76,0,0.07462335028618301,42.24139660001987,9.691772663122203
77,0,0.07468495832563071,42.288382766898806,9.691494347258905
78,0,0.07471767969902766,42.313341116883855,9.6911310553182
79,0,0.07472151960434684,42.316270154017026,9.69069979568139
80,0,0.07469669725069376,42.297336439001086,9.690215580979327
81,0,0.07464682510505133,42.259299110936425,9.689690159848595
82,0,0.0745761669089337,42.205416540979876,9.689131999681603
83,0,0.07448957492354584,42.139396344283824,9.688546473195636
84,0,0.07439271711566665,42.065566444728574,9.68793628963255
85,0,0.07429198011625682,41.988799038026954,9.68730244317324
86,0,0.07419307417281289,41.91344633813889,9.686645765603066
87,0,0.07410145515438331,41.843662437633235,9.685968442836872
88,0,0.07402064541549051,41.78212545071015,9.685275806646226
89,0,0.07395445991435114,41.73173452697289,9.684577581458855
90,0,0.07390356503973683,41.692991179283034,9.683889639271314
91,0,0.07386871970347453,41.66646839928054,9.683234351545163
92,0,0.07384898545791968,41.65144860957203,9.682641129100471
93,0,0.07384224572778568,41.646319160145396,9.682146152948171
94,0,0.07384554027604473,41.64882655168144,9.681791505356198
