x,y,rho_D,m_phi_GeV,phi_final
0,0,0.07286257522893151,40.9016937448828,1.0231198982130538e+145
1,0,0.07292742055826057,40.95092034423086,-1.008523219112593e+145
2,0,0.0730547172692012,41.047581582262104,9.801446362901597e+144
3,0,0.07323868015367703,41.187330699674774,-9.391537828111534e+144
4,0,0.07347067257700808,41.3636647344675,8.87201603418715e+144
5,0,0.07374048924358126,41.56888574390604,-8.263106066811261e+144
6,0,0.07403721759091668,41.79474418487866,7.587445012021147e+144
7,0,0.0743479870526383,42.03147710779561,-6.868692976094069e+144
8,0,0.0746610740663574,42.270166259844196,6.1301784616695094e+144
9,0,0.07496463666204113,42.501774633726995,-5.393683197020093e+144
10,0,0.07524748390648536,42.717735580809105,4.6784509968989164e+144
11,0,0.07550046454942459,42.911019911489845,-4.000475133109714e+144
12,0,0.07571496511291623,43.074997472953534,3.372087159948764e+144
13,0,0.07588634811655925,43.206074096468136,-2.8018404238048143e+144
14,0,0.07600919235056423,43.30006042074568,2.294654623212762e+144
15,0,0.07608187652631322,43.355682911417055,-1.8521708695246174e+144
16,0,0.07610377463585209,43.37244259106464,1.473254339053948e+144
17,0,0.07607490534397171,43.3503477110367,-1.1545803986801448e+144
18,0,0.07599817160458915,43.29162749000903,8.912440883072187e+143
19,0,0.07587717534110557,43.19905724230693,-6.773423440897484e+143
20,0,0.07571593739492867,43.07574093886748,5.06491448593526e+143
21,0,0.0755203943372375,42.92625189470225,-3.722557934184649e+143
22,0,0.07529645758491751,42.755143514963635,2.6847705254610074e+143
23,0,0.07505099637370559,42.5676963932727,-1.8950410700306395e+143
24,0,0.07479092774306256,42.36921879192598,1.3033230721639117e+143
25,0,0.0745243411462756,42.16590135690349,-8.666609115120841e+142
26,0,0.07425971481674583,41.96421521618827,5.492158318333147e+142
27,0,0.07400481149070227,41.77006935933666,-3.218612826640165e+142
28,0,0.07376791983074939,41.589757498455484,1.6150327866798217e+142
29,0,0.07355719073671885,41.429453939502345,-5.0257006570352176e+141
30,0,0.07338021254942441,41.29489434366925,-2.5418121164019016e+141
31,0,0.07324338962087859,41.19090920322709,7.555220270289004e+141
32,0,0.07315303054983305,41.122257518017136,-1.0742108511567712e+142
33,0,0.07311363843545497,41.09233401066932,1.2620059120918058e+142
34,0,0.07312804140163529,41.10327459292433,-1.3551066197710828e+142
35,0,0.07319831707325616,41.156662550774115,1.378526211763119e+142
36,0,0.07332296872480266,41.251384502852574,-1.3494960445376539e+142
37,0,0.07350065606040927,41.386462733954716,1.280035930794712e+142
38,0,0.07372596186526084,41.55783256795837,-1.1788334941870675e+142
39,0,0.07399238921382742,41.760611275131964,1.0525693501881177e+142
40,0,0.0742902156186581,41.98745456589676,-9.06809230608742e+141
41,0,0.07460987265765276,42.231118688536974,7.465659913237529e+141
42,0,0.07493874965872449,42.4820168269738,-5.766157067312738e+141
43,0,0.07526387389591835,42.73025436931763,4.016359958433209e+141
44,0,0.07557168046272764,42.96545235462311,-2.262206583122098e+141
45,0,0.07584944565213285,43.177845928277605,5.48137988198008e+140
46,0,0.07608593424214569,43.358788411724824,1.0840215066212426e+141
47,0,0.07627009924744886,43.499767030729764,-2.596370651077921e+141
48,0,0.07639464359433205,43.59514039995393,3.9562085698969197e+141
49,0,0.07645450760988269,43.640992808153364,-5.137118880486278e+141
50,0,0.0764471478761647,43.63535533008812,6.11974502602751e+141
51,0,0.0763742654955006,43.579533398048895,-6.89218858501166e+141
52,0,0.07624065441823255,43.477222871428,7.450007736072082e+141
53,0,0.07605287466293965,43.33348772001282,-7.79583884146379e+141
54,0,0.07582125805305327,43.15628578366092,7.938706499835698e+141
55,0,0.0755564154058107,42.95378402613385,-7.893125004425139e+141
56,0,0.07527122400876088,42.735868600559975,7.678131359204459e+141
57,0,0.07497810740739451,42.5120564507718,-7.316420656874477e+141
58,0,0.07468915164181707,42.29158111943491,6.83378992819765e+141
59,0,0.07441644014660198,42.08364764518879,-6.259135081960375e+141
60,0,0.07416914970965743,41.89522208108735,5.625298163341878e+141
61,0,0.07395583266611298,41.7327795954789,-4.971137865772041e+141
62,0,0.07378206995360621,41.60052482407536,4.345298679930739e+141
63,0,0.0736518679647341,41.501464717187254,-3.81229503742624e+141
64,0,0.07356713365168284,41.437015594295225,3.461700567866187e+141
65,0,0.07352750063135456,41.40687560143733,-3.421435580962151e+141
66,0,0.07353099014782613,41.40952917019468,3.876353780205929e+141
67,0,0.07357351301303995,41.44186724744513,-5.0935064671145996e+141
68,0,0.07364990615392326,41.49997239544332,7.455552817156165e+141
69,0,0.07375421246933564,41.579327468142324,-1.1503712630627196e+142
70,0,0.07387865271185595,41.674028733850236,1.7991331466913357e+142
71,0,0.07401612787025676,41.77868570085392,-2.794844713652912e+142
72,0,0.07415820745065732,41.88688728359238,4.275661240457136e+142
73,0,0.07429657036623194,41.992296641859916,-6.423157807092357e+142
74,0,0.07442430001182809,42.08963851271429,9.470924860176928e+142
75,0,0.07453516719771963,42.17415538185305,-1.3712765802392128e+143
76,0,0.07462335028618301,42.24139660001987,1.9509476480132793e+143
77,0,0.07468495832563071,42.288382766898806,-2.7292893914678286e+143
78,0,0.07471767969902766,42.313341116883855,3.7565655316815718e+143
79,0,0.07472151960434684,42.316270154017026,-5.089497008313049e+143
80,0,0.07469669725069376,42.297336439001086,6.789873249609397e+143
81,0,0.07464682510505133,42.259299110936425,-8.922256792778692e+143
82,0,0.0745761669089337,42.205416540979876,1.155069284981005e+144
83,0,0.07448957492354584,42.139396344283824,-1.4734419619575185e+144
